Nazwa | Skladniki | Cena
Pokój do wynajęcia|Jednoosobowy|500 zł
Pokój jednoosobowy, Os. SADY, Nowowiejska|Jednoosobowy|600 zł
Wynajmę pokój w mieszkaniu 3 pokojowym przy ul. Nowej w Kielcach|Studenci|650 zł
Pokój w Centrum Kielc|Osoby pracujące|360 zł
Wynajmę pokój blisko Politechniki|Jednoosobowy|550 zł
