Nazwa | Składniki | Cena | Link
Zestaw Jumanji|California krab sezam, California tempura, Chicken spicy, Futomaki|100 |/upload/iblock/2e6/2e655b2d7b01f8f7c408526e7011d50a.jpg
Zestaw Wybuch Łososiowy|Phila light, Philadelphia light, Tokio, Delikatny z łososiem, Philadelphia|100 |/upload/iblock/8e2/8e2f08a00438422646d5282ba169e50e.jpg
Zestaw Złota Rybka|Mijagi, Chicken Spicy, Maki takuan, Philadelphia Light, Philadelphia|103 |/upload/iblock/52c/52c1ccc1e76c870cfc60ab159b9802d5.jpg
Zestaw Imprezowy|California sezam krab, Tobiko, Futomaki z łososiem, Maki z łososiem|82 |/upload/iblock/f33/f33686b3d9ee2e348e6cc7d864d90853.jpg
Zestaw Phila|Phila light, Kunsei, Futomaki z łososiem, Maki z łososiem i serem,|79 |/upload/iblock/862/86200b815e37d784047ae470b7029bcc.jpg
