Nazwa | Skladniki | Cena
Makaron tagliatelle prosciutto di parma & rucola|Makaron tagliatelle z szynką parmeńską, czosnkiem, pomidorkami koktajlowymi, rucolą i parmezanem w towarzystwie oliwy extra virgin.|24.90 
Makaron penne z łososiem w sosie cytrynowo koperkowym|Makaron penne z kawałkami świeżego łososia, zielonym groszkiem, koprem, zielonym pieprzem, cebulką w sosie cytrynowo koperkowym.|26.50 
Makaron penne z kurczakiem i pastą truflową|Makaron penne w sosie śmietanowym z kawałkami kurczaka, grzybami leśnymi, parmezanem, czosnkiem, pastą truflową, cebulą, pietruszką, oraz przyprawami.|26.90 
Makaron tagliatelle z polędwiczką wieprzową|Makaron tagliatelle z marynowaną polędwicą wieprzową, suszonymi pomidorami, szpinakiem, pistacjami, pieprzem kolorowym, parmezanem.|28.90 
Lasagna szpinakowa|Płaty włoskiego makaronu przekładane szpinakiem, kawałkami kurczaka, brokułami, pomidorkami koktajlowymi zapieczone z mozzarellą i wykończone sosem ziołowym.|19.90 
Lasagna z mięsem|Płaty włoskiego makaronu przekładane mielonym mięsem wołowym z klasycznym sosem bolognese, zapiekane z mozzarellą.|19.90 
Sałatka a'la cezar|Mix sałat, grzanki, kurczak grillowany, boczek grillowany, pomidorki koktajlowe, ogórek świeży, parmezan, sos maxi cezar.|19.90 
Sałatka grecka|Mix sałat, pomidor koktajlowy, cebula czerwona, ogórek świeży, ser favita, oliwki czarne, oliwki zielone, sos vinaigrette brzoskwiniowy, grzanka.|17.90 
Sałatka amerykańska|Mix sałat, pomidor koktajlowy, ananas, brzoskwinia, kurczak grillowany, rodzynki macerowane w alkoholu, sos gyros, grzanka.|17.90 
Sałatka z tuńczykiem|Mix sałat, pomidor koktajlowy, ogórek kiszony, fasola czerwona, kukurydza, tuńczyk, sos gyros, grzanka.|17.90 
Sałatka z łososiem|Mix sałat, łosoś wędzony, pomidor koktajlowy, cebula czerwona, cytryna, kapary, koperek, sos vinaigrette, grzanka.|19.90 
Pieczywo czosnkowe|Pieczywo pszenne, masło czosnkowe, ser mozarella|8.50 
Pieczywo czosnkowe pepperoni|Pieczywo pszenne, masło czosnkowe, ser mozarella, pepperoni|9.50 
Zupa krem z pora|Kremowa zupa na bazie pora, cebuli i ziemniaka, doprawiona aromatycznym czosnkiem podsmażonym na maśle. Podawana z grzanką i pestkami dyni.|10.00 
Zupa krem z gruszki i pietruszki|Aksamitna zupa krem z dojrzałych gruszek i pietruszki z dodatkiem śmietany i serka mascarpone, doprawiona gałką muszkatołową oraz cytryną. Serwowana z grzanką, płatkami migdałów oraz płatkami chilli.|11.00 
Zupa cebulowo-czosnkowa|Doskonała zupa na bazie świeżego czosnku, cebuli i przypraw. Serwowana z grzankami z pesto.|10.00 
Zupa krem z pomidorów i pieczonej papryki|Aksamitna zupa na bazie pieczonej papryki i pomidorów z kawałkami mozzarelli i odrobiną pesto bazyliowego.|11.00 
Zupa krem z dyni|Aksamitny krem z dyni z dodatkiem czosnku, cebulki. Doprawiony śmietaną, olejem z pestek dyni, ziarnami słonecznika. Podawany z grzankami.|12.50 
Burger wegetariański|150g burgera z kaszy jaglanej i buraka , sos balsamiczny, sałata, ogórek konserwowy, cebula marynowana, rucola, ser favita, sos mango-curry.|24.00 
Burger tajski|Szarpana wieprzowina, sos Maxi BBQ, pędy bambusa, orzeszki ziemne, imbir różowy marynowany, rucola, majonez.|22.00 
Burger amerykański|Szarpana wieprzowina, sos Maxi BBQ, sałatka coleslaw, papryczki jalapeno.|22.00 
Burger umami|Szarpana wieprzowina, ser cheddar, pieczarki, marynowana czerwona cebula, sałata, majonez z oliwą truflową, sos Maxi BBQ.|24.00 
Burger classic|200g mięsa wołowego, sałata, rucola, pomidor, ogórek kiszony, czerwona cebula, sos BBQ, majonez|20.00 
Burger classic with cheese|200g mięsa wołowego, sałata, rucola, pomidor, ogórek kiszony, czerwona cebula, sos BBQ, majonez, ser cheddar, ser pleśniowy|21.00 
Burger hot cheese bacon|200g mięsa wołowego, sałata, rucola, pomidor, ogórek kiszony, boczek, czerwona cebula, sos BBQ, majonez, ser cheddar, ser pleśniowy, papryczki jalapeno|23.00 
Burger hawajski|200g mięsa wołowego, sałata, rucola, pomidor, ogórek kiszony, ananas karmelizowany, boczek, czerwona cebula, sos BBQ, majonez, ser cheddar|25.00 
Sos bbq|80g|2.50 
Sos czosnkowy|80g|2.50 
Sos pomidorowy pikantny|80g|2.50 
Sos pomidorowy łagodny|80g|2.50 
Woda mineralna niegazowana 0,5 l||4.90 
Woda mineralna gazowana 0,5 l||4.90 
Lipton ice tea brzoskwinia||6.00 
Lipton ice tea cytryna||6.00 
Lipton ice tea zielona||6.00 
Pepsi 0,85l||7.20 
7up 0,85l||7.20 
Mirinda 0,85l||7.20 
Frytki||7.00 
